"","","","","","","","","","","","","","","","","","","","","","",""
"","2016","1","2016-03","3","201610","10","42438","08","0845","ONDERNEMINGEN","BT_O_OB_2","9","0","0","9","9","98","0","","9","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","ONDERNEMINGEN","BT_O_OVERIG_1","28","0","1","27","26","213","0","0","1","0.96428571428571","0.92857142857143"
"","2016","1","2016-03","3","201610","10","42438","08","0845","ONDERNEMINGEN","BT_O_VPB_1","1","0","0","1","1","3","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","PARTICULIEREN","BT_P_BEST_1","16","0","2","14","2","1770","37","0","2","0.875","0.125"
"","2016","1","2016-03","3","201610","10","42438","08","0845","PARTICULIEREN","BT_P_BETA_1","80","0","1","79","26","7546","122","0","24","0.9875","0.325"
"","2016","1","2016-03","3","201610","10","42438","08","0845","PARTICULIEREN","BT_P_HUBA_1","33","0","0","33","33","217","0","0","6","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","PARTICULIEREN","BT_P_IB_1","339","1","22","317","30","40587","1279","0","33","0.93510324483776","0.088757396449704"
"","2016","1","2016-03","3","201610","10","42438","08","0845","PARTICULIEREN","BT_P_IB_2","41","0","0","41","38","794","0","","37","1","0.92682926829268"
"","2016","1","2016-03","3","201610","10","42438","08","0845","PARTICULIEREN","BT_P_OLDV_1","10","0","0","10","1","906","0","","9","1","0.1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","TOESLAGEN","BT_T_BETA_1","84","0","1","83","4","9377","24","0","2","0.98809523809524","0.047619047619048"
"","2016","1","2016-03","3","201610","10","42438","08","0845","TOESLAGEN","BT_T_BETA_2","9","0","0","9","8","147","0","","8","1","0.88888888888889"
"","2016","1","2016-03","3","201610","10","42438","08","0845","TOESLAGEN","BT_T_GRIP_1","2","0","0","2","2","29","0","","3","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","TOESLAGEN","BT_T_TOESLAGEN_1","130","1","7","123","14","12756","561","0","15","0.94615384615385","0.10852713178295"
"","2016","1","2016-03","3","201610","10","42438","08","0845","TOESLAGEN","BT_T_WKO_1","1","0","0","1","0","57","0","","","1","0"
"","2016","1","2016-03","3","201610","10","42438","09","0900","AUTO","BT_A_AUTO_1","93","0","0","93","93","620","0","0","14","1","1"
"","2016","1","2016-03","3","201610","10","42438","09","0900","AUTO","BT_A_BPM_1","13","0","0","13","13","84","0","0","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","09","0900","AUTO","BT_A_VRACHT_1","3","0","0","3","3","20","0","0","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","09","0900","BO_TOESLAGEN","TT_BO_TOESL_2","13","0","0","13","3","1533","0","","15","1","0.23076923076923"
"","2016","1","2016-03","3","201610","10","42438","09","0900","BO_TOESLAGEN","TT_T_HUZO_1","5","0","1","4","1","351","48","0","","0.8","0.2"
"","2016","1","2016-03","3","201610","10","42438","09","0900","BUITENLAND","BT_B_BUIT_1","47","1","1","46","44","440","0","0","4","0.97872340425532","0.95652173913043"
"","2016","1","2016-03","3","201610","10","42438","09","0900","BUITENLAND","BT_B_IB_2","3","0","0","3","2","67","0","","3","1","0.66666666666667"
"","2016","1","2016-03","3","201610","10","42438","09","0900","BUITENLAND","BT_B_OND_1","1","0","0","1","1","8","0","","","1","1"
"","2016","1","2016-03","3","201610","10","42438","09","0900","BUITENLAND","BT_B_TSL_1","1","0","0","1","1","6","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","09","0900","DOUANE","BT_D_OVERIG_1","2","0","0","2","2","14","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","09","0900","GENERIEK","BT_G_ENGELS_1","8","0","0","8","7","77","0","","7","1","0.875"
"","2016","1","2016-03","3","201610","10","42438","09","0900","GENERIEK","BT_G_ERFETM_1","17","0","0","17","5","1055","0","0","14","1","0.29411764705882"
"","2016","1","2016-03","3","201610","10","42438","09","0900","GENERIEK","BT_G_GELDZAKEN_1","17","0","3","14","0","4370","673","0","","0.82352941176471","0"
"","2016","1","2016-03","3","201610","10","42438","09","0900","GENERIEK","BT_G_INVOR_1","13","0","0","13","6","592","0","0","12","1","0.46153846153846"
"","2016","1","2016-03","3","201610","10","42438","09","0900","GENERIEK","BT_G_SCHEIDEN_1","9","0","0","9","7","210","0","0","5","1","0.77777777777778"
"","2016","1","2016-03","3","201610","10","42438","09","0900","GENERIEK (1 BRN)","BT_G_CAMP_1","9","0","2","7","7","57","57","0","","0.77777777777778","0.77777777777778"
"","2016","1","2016-03","3","201610","10","42438","09","0900","GENERIEK (BEL ONS)","BT_G_BELONS_1","1","0","0","1","1","4","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","09","0900","GENERIEK (EBV)","BT_G_EBV_1","47","0","0","47","47","324","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","09","0900","GENERIEK (OHV)","BT_G_OHVTOE_1","1","0","0","1","0","80","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","09","0900","INTERMEDIAIRS","BT_HI_IB_1","43","0","0","43","35","653","0","0","","1","0.81395348837209"
"","2016","1","2016-03","3","201610","10","42438","09","0900","INTERMEDIAIRS","BT_HI_OVERIG_1","85","0","0","85","72","1468","0","0","","1","0.84705882352941"
"","2016","1","2016-03","3","201610","10","42438","09","0900","ONDERNEMINGEN","BT_O_EXPERTLIJN_1","7","0","0","7","7","64","0","","5","1","1"
"","2016","1","2016-03","3","201610","10","42438","09","0900","ONDERNEMINGEN","BT_O_IB_1","53","0","3","50","30","2474","211","0","32","0.94339622641509","0.56603773584906"
"","2016","1","2016-03","3","201610","10","42438","09","0900","ONDERNEMINGEN","BT_O_IB_2","16","0","2","14","0","2944","210","","11","0.875","0"
